game_id,game_date,table_id,game_duration,final_score_red,final_score_blue,winner,player_id,player_name,player_canonical_name,player_age,player_goals,team_color
G015295,23-02-06,T05,,0,4,Blue,P0382,Julie Moreau,Julie Moreau,20,0,Red
G023800,23-03-24,T07,,10,7,Red,P0356,Mohamed Philippe,Mohamed Philippe,,0,Blue
G023577,25-01-13,T26,,2,6,Blue,P0267,Luc Rossi,Luc Rossi,21,2,Red
G020644,25-11-11,T21,,6,9,Blue,P0208,Morgan R.,Morgan Rossi,21,0,Blue
G011677,23-09-30,T26,00:06:00,3,10,Blue,P0027,Casey Kim,Casey Kim,26,0,Red
G019911,23-04-07,T26,00:05:00,9,8,Red,P0181,C. Blanc,Chris Blanc,21,7,Red
G015349,23-11-16,T24,00:18:00,0,4,Blue,P0734,Garcia Antoine,Antoine Garcia,,0,Red
G004849,25-11-16,T20,00:08:11,7,7,,P0349,Paul Clement,Paul Clement,,4,Red
G002507,24-01-29,T18,,6,5,Red,P0077,Casey G.,Casey Garcia,21,6,Red
G010434,25-05-22,T03,,2,5,Blue,P0545,Olivia Mercier,Olivia Mercier,36,0,Red
G009714,23-03-06,T22,00:38:24,3,4,Blue,P0563,Isabella Durand,Isabella Durand,21,1,Red
G005421,24-08-15,T05,,3,7,Blue,P0175,Ava Martin,Ava Martin,19,0,Red
G023712,23-05-15,T23,00:40:24,2,3,Blue,P0099,Olivia Martin,Olivia Martin,29,1,Blue
G009914,25-05-19,T27,00:13:00,8,0,Red,P0689,Mila Garcia,Mila Garcia,21,0,Blue
G019897,25-10-14,T07,00:09:50,4,9,Blue,P0323,Hugo Kim,Hugo Kim,20,1,Blue
G016295,24-04-16,T18,,8,3,Red,P0635,Paul K.,Paul Kovacs,21,2,Blue
G009756,24-01-02,T01,00:08:00,2,0,Red,P0521,Liam Kim,Liam Kim,,0,Blue
G002333,25-11-05,T07,,1,4,Blue,P0262,Alex,Alex Bernard,20,1,Red
G006772,25-07-15,T08,00:09:00,3,8,Blue,P0666,Sofia,Sofia Garcia,,2,Red
G014132,24-10-28,T01,00:13:00,1,2,Blue,P0362,Morel Liam,Liam Morel,21,1,Blue
G011286,25-02-04,T28,,7,8,Blue,P0138,Jordan G.,Jordan Garcia,20,6,Red
G007924,23-05-05,T05,00:29:19,8,7,Red,P0436,Alex Morel,Alex Morel,21,5,Red
G023513,25-10-11,T08,00:13:00,2,5,Blue,P0610,Maria Garnier,Maria Garnier,,3,Blue
G010866,24-08-14,T14,,4,10,Blue,P0306,Chloe Richard,Chloe Richard,20,1,Blue
G001030,24-11-08,T26,,2,,Blue,P0257,Paul Moreau,Paul Moreau,,0,Blue
G023023,25-06-07,T05,,2,3,Blue,P0146,Lucas Moreau,Lucas Moreau,,1,Red
G004220,23-08-19,T09,00:12:00,2,0,Red,P0658,Julien A.,Julien Andre,21,0,Blue
